Device ID,EDOP3_C10R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-10,2.23153E-10,-1.195E-12,0.1
-9.889,2.70599E-10,-6.34E-13,0.1
-9.778,3.11702E-10,-3.89E-13,0.1
-9.667,3.55551E-10,-2.68E-13,0.1
-9.556,4.03482E-10,-1.74E-13,0.1
-9.444,4.56929E-10,-1.15E-13,0.1
-9.333,5.15881E-10,-8.2E-14,0.1
-9.222,5.81162E-10,-6.6E-14,0.1
-9.111,6.53587E-10,-6.1E-14,0.1
-9,7.34401E-10,-2.1E-14,0.1
-8.889,8.2433E-10,-1.1E-14,0.1
-8.778,9.23602E-10,5E-15,0.1
-8.667,0.000000001,6E-15,0.1
-8.556,1.15422E-09,1.9E-14,0.1
-8.444,1.29745E-09,6.6E-14,0.1
-8.333,1.45177E-09,8.9E-14,0.1
-8.222,1.62175E-09,9.3E-14,0.1
-8.111,1.80944E-09,1.02E-13,0.1
-8,0.000000002,7.8E-14,0.1
-7.889,2.24147E-09,8.4E-14,0.1
-7.778,2.49076E-09,7.2E-14,0.1
-7.667,2.76559E-09,1.1E-13,0.1
-7.556,3.06594E-09,1.05E-13,0.1
-7.444,3.40117E-09,1.12E-13,0.1
-7.333,3.76303E-09,1.22E-13,0.1
-7.222,4.15942E-09,1.15E-13,0.1
-7.111,4.59384E-09,1.34E-13,0.1
-7,5.0678E-09,1.22E-13,0.1
-6.889,5.58483E-09,1.27E-13,0.1
-6.778,6.14996E-09,1.05E-13,0.1
-6.667,6.76114E-09,1.33E-13,0.1
-6.556,7.42806E-09,1.36E-13,0.1
-6.444,8.15948E-09,1.12E-13,0.1
-6.333,8.948E-09,1.19E-13,0.1
-6.222,9.80509E-09,1.32E-13,0.1
-6.111,1.072525E-08,1.58E-13,0.1
-6,1.1694E-08,9.5E-14,0.1
-5.889,1.27842E-08,1.11E-13,0.1
-5.778,0.000000014,1.26E-13,0.1
-5.667,1.52192E-08,1.19E-13,0.1
-5.556,1.65683E-08,1.16E-13,0.1
-5.444,0.000000018,1.03E-13,0.1
-5.333,1.96129E-08,9.2E-14,0.1
-5.222,2.12919E-08,1.21E-13,0.1
-5.111,2.30879E-08,1.34E-13,0.1
-5,0.000000025,1.22E-13,0.1
-4.889,2.70792E-08,9.7E-14,0.1
-4.778,2.92921E-08,1.25E-13,0.1
-4.667,3.16409E-08,1.06E-13,0.1
-4.556,3.41413E-08,1.01E-13,0.1
-4.444,3.68618E-08,9.1E-14,0.1
-4.333,3.97087E-08,1.09E-13,0.1
-4.222,4.27516E-08,1.27E-13,0.1
-4.111,0.000000046,1.05E-13,0.1
-4,4.93845E-08,1.24E-13,0.1
-3.889,0.000000053,1.03E-13,0.1
-3.778,5.68455E-08,1.02E-13,0.1
-3.667,6.09175E-08,1.44E-13,0.1
-3.556,6.52032E-08,1.11E-13,0.1
-3.444,6.97969E-08,1.07E-13,0.1
-3.333,7.4606E-08,1.13E-13,0.1
-3.222,7.9665E-08,9.6E-14,0.1
-3.111,0.000000085,1.08E-13,0.1
-3,9.06377E-08,1.14E-13,0.1
-2.889,9.65489E-08,1.21E-13,0.1
-2.778,1.027772E-07,9.8E-14,0.1
-2.667,1.092916E-07,1.06E-13,0.1
-2.556,0.000000116,9E-14,0.1
-2.444,1.23363E-07,1.28E-13,0.1
-2.333,1.30908E-07,1.31E-13,0.1
-2.222,1.38804E-07,1.17E-13,0.1
-2.111,1.47059E-07,9.4E-14,0.1
-2,1.55653E-07,9.7E-14,0.1
-1.8889,1.64641E-07,1.07E-13,0.1
-1.7778,0.000000174,1.07E-13,0.1
-1.6667,1.83803E-07,9E-14,0.1
-1.5556,0.000000194,1.08E-13,0.1
-1.4444,2.04618E-07,1.14E-13,0.1
-1.3333,2.15581E-07,1E-13,0.1
-1.2222,0.000000227,9.2E-14,0.1
-1.1111,2.38814E-07,9.4E-14,0.1
-1,0.000000251,1.16E-13,0.1
-0.8889,2.63686E-07,1.05E-13,0.1
-0.7778,2.76814E-07,7.3E-14,0.1
-0.6667,2.90338E-07,9.8E-14,0.1
-0.5556,3.04311E-07,9.3E-14,0.1
-0.4444,3.18744E-07,7.4E-14,0.1
-0.3333,3.33524E-07,9.7E-14,0.1
-0.2222,3.48804E-07,1.31E-13,0.1
-0.1111,3.64455E-07,1.08E-13,0.1
0,3.80452E-07,1.18E-13,0.1
0.1111,3.96869E-07,1E-13,0.1
0.2222,4.13782E-07,1.13E-13,0.1
0.3333,4.31115E-07,1.13E-13,0.1
0.4444,4.48787E-07,1.16E-13,0.1
0.5556,4.6685E-07,1.13E-13,0.1
0.6667,4.85335E-07,9.3E-14,0.1
0.7778,0.000000504,1.17E-13,0.1
